2023-10-02 17:15:31,809 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2023-10-02 17:16:27,060 [Worker-7: Importing Maven projects] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.zosh:e-commerce:0.0.1-SNAPSHOT @ C:\Users\aniketkumar01\Downloads\Ecommerce\Ecomm_Backend\e-commerce\pom.xml.
2023-10-02 17:16:28,752 [Worker-7: Importing Maven projects] WARN  o.e.m.j.i.AbstractJavaProjectConfigurator - Could not determine source level, using default 1.5
2023-10-02 17:16:28,754 [Worker-7: Importing Maven projects] WARN  o.e.m.j.i.AbstractJavaProjectConfigurator - Could not determine target level, using default 1.5
2023-10-02 17:16:28,866 [Worker-7: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /e-commerce/src/main/java
2023-10-02 17:16:28,867 [Worker-7: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /e-commerce/src/main/resources
2023-10-02 17:16:28,880 [Worker-7: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /e-commerce/src/main/resources
2023-10-02 17:16:28,894 [Worker-7: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /e-commerce/src/test/java
2023-10-02 17:16:29,418 [Worker-7: Importing Maven projects] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2023-10-02 17:16:32,861 [Worker-1: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 1 resource from src\main\resources to target\classes
2023-10-02 17:16:32,885 [Worker-1: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2023-10-02 17:16:32,888 [Worker-1: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Users\aniketkumar01\Downloads\Ecommerce\Ecomm_Backend\e-commerce\src\test\resources
2023-10-02 17:16:58,472 [Worker-5: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2023-10-02 17:16:58,472 [Worker-5: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2023-10-02 17:16:58,475 [Worker-5: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Users\aniketkumar01\Downloads\Ecommerce\Ecomm_Backend\e-commerce\src\test\resources
2023-10-02 17:17:03,931 [Worker-0: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 1 resource from src\main\resources to target\classes
2023-10-02 17:17:03,935 [Worker-0: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2023-10-02 17:17:03,937 [Worker-0: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Users\aniketkumar01\Downloads\Ecommerce\Ecomm_Backend\e-commerce\src\test\resources
2023-10-02 17:18:02,907 [Worker-7: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 1 resource from src\main\resources to target\classes
2023-10-02 17:18:02,918 [Worker-7: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2023-10-02 17:18:02,921 [Worker-7: Building workspace] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - skip non existing resourceDirectory C:\Users\aniketkumar01\Downloads\Ecommerce\Ecomm_Backend\e-commerce\src\test\resources
